Time Elapsed (s),Timestamp,Frequency,Moving Average
40.967103481292725,1756893413.303887,5976218.358461694,5976215.434323961
41.47166705131531,1756893413.80845,5976220.456341963,5976216.968327606
41.97850513458252,1756893414.315288,5976223.1782798385,5976218.783891625
42.481711626052856,1756893414.818495,5976226.890171432,5976221.074783581
42.98457360267639,1756893415.321357,5976233.878008941,5976224.552252774
43.489612340927124,1756893415.826395,5976241.895422873,5976229.259645009
43.99219870567322,1756893416.328982,5976245.677108238,5976234.303798264
44.497021198272705,1756893416.833804,5976250.012724904,5976239.670687278
45.0014488697052,1756893417.338232,5976252.893703559,5976244.871393703
45.504501819610596,1756893417.841285,5976254.772213707,5976249.050234656
46.00978660583496,1756893418.34657,5976258.0049238065,5976252.272134842
46.51450848579407,1756893418.851292,5976261.951047235,5976255.526922641
47.01925468444824,1756893419.356038,5976266.9182291,5976258.908023481
47.52405548095703,1756893419.860839,5976271.421685908,5976262.6136199515
48.026753425598145,1756893420.363537,5976274.324413566,5976266.524059923
48.531553506851196,1756893420.868337,5976275.976877332,5976270.118450629
49.03421926498413,1756893421.371003,5976274.581468743,5976272.64453493
49.53905415534973,1756893421.875837,5976272.221558076,5976273.705200724
50.04176330566406,1756893422.378547,5976268.671162899,5976273.155096123
50.55026125907898,1756893422.887044,5976265.265432801,5976271.34329997
51.05314803123474,1756893423.389931,5976263.594980225,5976268.8669205485
51.55802774429321,1756893423.894811,5976258.779075749,5976265.70644195
52.06306767463684,1756893424.399851,5976257.776863037,5976262.817502943
52.56846308708191,1756893424.905246,5976256.03104035,5976260.289478431
53.072691917419434,1756893425.409475,5976251.621377315,5976257.560667335
53.57802939414978,1756893425.914812,5976246.969495236,5976254.235570338
54.08089756965637,1756893426.417681,5976239.813926298,5976250.442540447
54.58594465255737,1756893426.922728,5976231.591345282,5976245.205436896
55.09102725982666,1756893427.42781,5976227.647600751,5976239.528748976
55.59548759460449,1756893427.932271,5976225.669445512,5976234.3383626165
56.10219359397888,1756893428.438977,5976223.878551679,5976229.720173905
56.60523200035095,1756893428.942015,5976223.884665188,5976226.5343216825
57.109764099121094,1756893429.446547,5976222.120182228,5976224.64008907
57.614378929138184,1756893429.951162,5976219.619865475,5976223.034542017
58.11970496177673,1756893430.456488,5976217.909783798,5976221.482609673
58.62212872505188,1756893430.958912,5976217.423753383,5976220.191650015
59.12498474121094,1756893431.461768,5976214.285636417,5976218.27184426
59.62796640396118,1756893431.96475,5976212.576801742,5976216.363168163
60.13459515571594,1756893432.471378,5976211.130803222,5976214.665355712
60.637022733688354,1756893432.973806,5976208.764356983,5976212.836270349
61.139941692352295,1756893433.476725,5976207.079579865,5976210.767435646
61.64463973045349,1756893433.981423,5976203.543221459,5976208.618952653
62.14942526817322,1756893434.486209,5976199.862159603,5976206.076024226
62.65843629837036,1756893434.99522,5976196.787460708,5976203.207355723
63.16169357299805,1756893435.498477,5976192.967840888,5976200.048052504
63.664233922958374,1756893436.001017,5976189.2640963765,5976196.484955806
64.17118549346924,1756893436.507968,5976186.833611763,5976193.143033868
64.67952704429626,1756893437.01631,5976181.32005735,5976189.434613417
65.1820387840271,1756893437.518822,5976177.589441533,5976185.595009582
65.68764185905457,1756893438.024425,5976172.9173835935,5976181.584918124
66.19490623474121,1756893438.531689,5976168.309459951,5976177.393990838
66.70136260986328,1756893439.038146,5976164.750470048,5976172.977362496
67.20639276504517,1756893439.543176,5976159.469037157,5976168.607158456
67.71082067489624,1756893440.047604,5976156.206705951,5976164.33061134
68.2175920009613,1756893440.554375,5976151.300473731,5976160.007229367
68.72440433502197,1756893441.061188,5976145.884383755,5976155.522214128
69.2293598651886,1756893441.566143,5976140.905492855,5976150.75321869
69.73464632034302,1756893442.071429,5976137.792079328,5976146.417827125
70.24140334129333,1756893442.578186,5976138.673639753,5976142.911213884
70.74592518806458,1756893443.082708,5976140.383862116,5976140.727891562
71.24918603897095,1756893443.585969,5976141.747475339,5976139.900509877
71.75191307067871,1756893444.088696,5976143.170931892,5976140.353597686
72.254873752594,1756893444.591657,5976145.139916866,5976141.823165193
72.75749635696411,1756893445.094279,5976147.846564572,5976143.657750158
73.26399612426758,1756893445.600779,5976149.756345705,5976145.532246875
73.7687680721283,1756893446.105551,5976153.16034279,5976147.814820365
74.2716772556305,1756893446.60846,5976156.287786693,5976150.438191325
74.77612519264221,1756893447.112908,5976159.227451205,5976153.255698193
75.28095030784607,1756893447.617734,5976163.028084613,5976156.292002201
75.78747129440308,1756893448.124255,5976169.129674247,5976160.16666791
76.29058456420898,1756893448.627368,5976174.759199892,5976164.4864393305
76.7933144569397,1756893449.130098,5976179.893006872,5976169.207483366
77.30029487609863,1756893449.637078,5976187.2345710285,5976174.808907331
77.80560088157654,1756893450.142384,5976192.176972717,5976180.638684952
78.31092715263367,1756893450.64771,5976195.761996195,5976185.965149341
